Date,IXIC,GSPC,GDAXI
2011-05-19,2823.310059,1343.599976,7443.950195
2011-05-20,2803.320068,1333.27002,7403.310059
2011-05-23,2758.899902,1317.369995,7387.540039
2011-05-24,2746.159912,1316.280029,7256.649902
2011-05-25,2761.379883,1320.469971,7303.529785
2011-05-26,2782.919922,1325.689941,7358.22998
2011-05-27,2796.860107,1331.099976,7266.819824
2011-05-31,2835.300049,1345.199951,7121.52002
2011-06-01,2769.189941,1314.550049,7150.660156
2011-06-02,2773.310059,1312.939941,7170.939941
2011-06-03,2732.780029,1300.160034,7114.089844
2011-06-06,2702.560059,1286.170044,7163.470215
2011-06-07,2701.560059,1284.939941,7160.299805
2011-06-08,2675.379883,1279.560059,7293.689941
2011-06-09,2684.870117,1289,7217.430176
2011-06-10,2643.72998,1270.97998,7074.120117
2011-06-13,2639.689941,1271.829956,7109.029785
2011-06-14,2678.719971,1287.869995,7084.569824
2011-06-15,2631.459961,1265.420044,7103.25
2011-06-16,2623.699951,1267.640015,7060.22998
2011-06-17,2616.47998,1271.5,7159.660156
2011-06-20,2629.659912,1278.359985,7069.899902
2011-06-21,2687.26001,1295.52002,7085.140137
2011-06-22,2669.189941,1287.140015,7204.790039
2011-06-23,2686.75,1283.5,7115.080078
2011-06-24,2652.889893,1268.449951,7110.200195
2011-06-27,2688.280029,1280.099976,7164.049805
2011-06-28,2729.310059,1296.670044,7150.209961
2011-06-29,2740.48999,1307.410034,7285.509766
2011-06-30,2773.52002,1320.640015,7278.189941
2011-07-01,2816.030029,1339.670044,7149.439941
2011-07-05,2825.77002,1337.880005,7121.379883
2011-07-06,2834.02002,1339.219971,7107.899902
2011-07-07,2872.659912,1353.219971,7170.430176
2011-07-08,2859.810059,1343.800049,7294.140137
2011-07-11,2802.620117,1319.48999,7376.240234
2011-07-12,2781.909912,1313.640015,7419.439941
2011-07-13,2796.919922,1317.719971,7442.959961
2011-07-14,2762.669922,1308.869995,7439.439941
2011-07-15,2789.800049,1316.140015,7431.189941
2011-07-18,2765.110107,1305.439941,7471.439941
2011-07-19,2826.52002,1326.72998,7402.72998
2011-07-20,2814.22998,1325.839966,7230.25
2011-07-21,2834.429932,1343.800049,7174.140137
2011-07-22,2858.830078,1345.02002,7267.870117
2011-07-25,2842.800049,1337.430054,7214.740234
2011-07-26,2839.959961,1331.939941,7220.120117
2011-07-27,2764.790039,1304.890015,7107.919922
2011-07-28,2766.25,1300.670044,7192.669922
2011-07-29,2756.379883,1292.280029,7221.359863
2011-08-01,2744.610107,1286.939941,7290.140137
2011-08-02,2669.23999,1254.050049,7326.390137
2011-08-03,2693.070068,1260.339966,7344.540039
2011-08-04,2556.389893,1200.069946,7349.450195
2011-08-05,2532.409912,1199.380005,7252.680176
2011-08-08,2357.689941,1119.459961,7190.060059
2011-08-09,2482.52002,1172.530029,7158.77002
2011-08-10,2381.050049,1120.76001,6953.97998
2011-08-11,2492.679932,1172.640015,6796.75
2011-08-12,2507.97998,1178.810059,6640.589844
2011-08-15,2555.199951,1204.48999,6414.759766
2011-08-16,2523.449951,1192.76001,6236.160156
2011-08-17,2511.47998,1193.890015,5923.27002
2011-08-18,2380.429932,1140.650024,5917.080078
2011-08-19,2341.840088,1123.530029,5613.419922
2011-08-22,2345.379883,1123.819946,5797.660156
2011-08-23,2446.060059,1162.349976,5997.740234
2011-08-24,2467.689941,1177.599976,6022.240234
2011-08-25,2419.629883,1159.27002,5994.899902
2011-08-26,2479.850098,1176.800049,5948.939941
2011-08-29,2562.110107,1210.079956,5602.799805
2011-08-30,2576.110107,1212.920044,5480
2011-08-31,2579.459961,1218.890015,5473.779785
2011-09-01,2546.040039,1204.420044,5532.379883
2011-09-02,2480.330078,1173.969971,5681.080078
2011-09-06,2473.830078,1165.23999,5584.140137
2011-09-07,2548.939941,1198.619995,5537.47998
2011-09-08,2529.139893,1185.900024,5670.069824
2011-09-09,2467.98999,1154.22998,5643.919922
2011-09-12,2495.090088,1162.27002,5784.850098
2011-09-13,2532.149902,1172.869995,5730.629883
2011-09-14,2572.550049,1188.680054,5538.330078
2011-09-15,2607.070068,1209.109985,5246.180176
2011-09-16,2622.310059,1216.01001,5193.970215
2011-09-19,2612.830078,1204.089966,5405.529785
2011-09-20,2590.23999,1202.089966,5408.459961
2011-09-21,2538.189941,1166.76001,5189.930176
