,CCMP,SPX,Dax
2020-01-31,0.6798901584370003,6.7220534694101275e-18,0.32010984156299976
2020-02-29,0.6110158982633541,1.117812439832555e-16,0.3889841017366458
2020-03-31,0.8145973958297157,0.0,0.18540260417028828
2020-04-30,1.0,0.0,4.163336342344337e-17
2020-05-31,0.9999999999999998,0.0,1.734723475976807e-16
2020-06-30,0.9253268746413335,0.0,0.07467312535866727
2020-07-31,0.8144824721786277,0.0,0.18551752782137523
2020-08-31,0.8212756455424496,7.266322959997851e-16,0.17872435445754972
2020-09-30,0.7310213397363121,1.1386291215442768e-15,0.2689786602636868
2020-10-31,0.8165656464051411,7.173081573164097e-16,0.1834343535948582
2020-11-30,1.0,0.0,4.371503159461554e-16
